CPID,LocalMagnitude,NeuralMagnitude,TotalRAC,Synced Til,Address,CPID_Valid,Witnesses
04cf70d914c9e8c816edeb04bb64324b,5,0,550,12/31/2015 6:00:00 AM,SGDQtiavRKPDZaJyh3zJrVL3BLhpvTHue4,True,1,
04f4c41da463c43142e4b1db5ecbad54,0,0,870,12/31/2015 6:00:00 AM,S9nFZCJCDoC5mZ4LVQT8NmABapwzEGviyt,True,1,
051b0d7b45be4040013bdf0e90995c96,0,0,0,12/31/2015 6:00:00 AM,SFjnnyUDkpvnY1p3xMfKfeg2ybtGtoEKks,True,1,
052c3295a5facf0b2211926307d6bc96,0,0,0,12/31/2015 6:00:00 AM,S6j5FafWmzA36GuH18DgQ2PhdYMGfcoi1A,True,1,
055f50bd0ae9226d14c7486808438f0f,0,0,0,12/31/2015 6:00:00 AM,S4XZ8ZLwEkmRE3EwnS1QC6bRBhRVXFtoyC,True,1,
056187f49c5901d84c9af47f567628b3,1.25,0,200,12/31/2015 6:00:00 AM,SKsLTtu3KPehW2Krny4zTUTChwbyATJKam,True,1,
05c21278af7999e749b1671ea90bc8f6,330,0,23527500,12/31/2015 6:00:00 AM,SBTzLsCyRKrDU5bVRLt75Nx61eRapGGUCA,True,1,
060f3495b54dbefe9b5bcef00b0df681,40,0,23333.33,12/31/2015 6:00:00 AM,S7uUfhjSr8H6HUUH6ac7vJQtYL5QvnPeL2,True,1,
061553c91eae5e21ff3e90b94dbb9496,0,0,0,12/31/2015 6:00:00 AM,S7UawvWoSBDHQSbPpL1Sxxf9vdyhWCr4o6,True,1,
061616c1f0065276dbec881c6d2a4ad3,11.25,0,3840,12/31/2015 6:00:00 AM,S7xnTBAqsBDEY6QcMhUNRiMsW1m7rH9jk2,True,1,
061bf70dfdbb0fcc10dc1427cd927f77,80,0,16666.67,12/31/2015 6:00:00 AM,S8PDZBmzqWre4NWahaeGnaDXViWTUdbm7C,True,1,
0639224a79ad5696557a66bd2cda41b4,10,0,32166.67,12/31/2015 6:00:00 AM,S3V6xTdbM7XbXRcJgPcpmDcHTx8jVToNNo,True,1,
0639771c67d7f228d327c2984b465560,23.75,0,3480,12/31/2015 6:00:00 AM,S6zAi1tcRdSR3nbf7Bkf1MvA56dr3ErNXV,True,1,
0690fa324fcfa09b170c3dac1d01c677,3.75,0,6200,12/31/2015 6:00:00 AM,SLqVixc7qfZBnU1UX1gB6zvMvLcdjDXt4B,True,1,
0698a0a811e7b73e765049be05972cfd,5,0,1320,12/31/2015 6:00:00 AM,SHC8KV3YS3n4w1XaCbrtQCf5JbrcgvCy79,True,1,
06c52d8ad2ce85b970137e39386cd4c4,2.5,0,300,12/31/2015 6:00:00 AM,SKSEW5g8xN6NCQBDvPYqAngqAfhBmPKGBp,True,1,
06ec1b4b9220c928fc7c38a441d3cd75,0,0,0,12/31/2015 6:00:00 AM,SMHwjqgRW9ZSefxPdPE9J3TUkFxyPzRXn1,True,1,
071c46627d52a36ec772b0a3ea976a33,0,0,0,12/31/2015 6:00:00 AM,SB927R3XYCcEwqmu1BenT5FjuzhtBjysmr,True,1,
0722362ac3db0c9f863e9f51d7df0138,2.5,0,330,12/31/2015 6:00:00 AM,SEnACYoP3ZpvwuXsFVbdqEijWPHK7AT9KX,True,1,
073465713644785991e9cb04061799ab,1.25,0,4040,12/31/2015 6:00:00 AM,SAqC6YpDn1uuo4w7LvJo4XNyPHRqyuXVea,True,1,
073d363cd2b7a96262e8b72a1190ab9e,3.75,0,14000,12/31/2015 6:00:00 AM,S8C5zWYnfR4j6zpxqsaYdR9sbK1BjnPk94,True,1,
0749763237c01cd08c69585b8d1b823d,130,0,447333.33,12/31/2015 6:00:00 AM,SGfRQPmGsus7T4XhmdqhhSynGrcBA4qFGs,True,1,
0776264b1a2ac2a5895fe664a7efde0d,1.25,0,465,12/31/2015 6:00:00 AM,RyYuBPvQ7rg6ZVjr9xxra5Cdgep1TMA1dY,True,1,
0780fcc24c13cd5978a9ed4933a4d518,95,0,9160,12/31/2015 6:00:00 AM,SB6xyttK2cYjZ9JpNv4Qi38QuxtpdVtGcY,True,1,
07a8937d4840dacadea60ddc86fa7ba3,0,0,205,12/31/2015 6:00:00 AM,SHBQWzJH6saKxZSszwEVN5UqU98xEKDU2a,True,1,
07b8ee3d068079f572b72c60043cb85e,75,0,4400,12/31/2015 6:00:00 AM,SCkLS2UqEjNvVhzgrjTvFVKzerVZmqNbai,True,1,
07d49f2388664ceb0d517a0d417d4355,1200,0,115149780,12/31/2015 6:00:00 AM,SLNCZNfBWHJVaYPKNByjYVhuinZXotFGjN,True,1,
07eddf7186858e6e44ba714cfad8578b,280,0,232000,12/31/2015 6:00:00 AM,SEps7Y8Ah3y89931Hdsmj4U3dNjeGoENNB,True,1,
08321f22a670ce593f85cee0aceed378,6.25,0,6040,12/31/2015 6:00:00 AM,SLHYgCyemqrxduZBkiYjGAT8wjTrkEPpec,True,1,
083f53069cd4cb31140a8a563e13a816,0,0,0,12/31/2015 6:00:00 AM,Rx295hrWVF9FjxHJP3jcA4L2mf2WDJ3WtS,True,1,
0907019110d9e6453f120744edffa567,0,0,0,12/31/2015 6:00:00 AM,RynyjRKoaJmxXQbRQgJdNaoeiUcNTUZBLq,True,1,
0968f3f73c358da2dd8b4854e1ede35e,130,0,236666.67,12/31/2015 6:00:00 AM,SM99n6QyKjZSSuRKbtfF1XWsJ4vajzq6qt,True,1,
097304832e018c455aaf8ce011748ea2,50,0,8000,12/31/2015 6:00:00 AM,SDbK14JL2xywQUmLaBTa2YMsnGMPf4cx5z,True,1,
097c16fed6eba410219b5f52f954f5b0,35,0,78333.33,12/31/2015 6:00:00 AM,S8LXNT9hXXdTPvz1g9CTJBTcwnYS7hRYzy,True,1,
09b02c885360f991fd743b43ad1939d2,2.5,0,4760,12/31/2015 6:00:00 AM,S8qcY21D2qqgRQDmQA3DjkS8Cz5PuwL429,True,1,
