CPID,LocalMagnitude,NeuralMagnitude,TotalRAC,Synced Til,Address,CPID_Valid,Witnesses
0390450eff5f5cd6d7a7d95a6d898d8d,900,900,659333.33,5/9/2016 6:00:00 AM,SDLe64LiX5zHFoye2NQk1ighScJnvEayYf,True,1,
03f2be5319c9fbb86cd343df548f9eb4,11.25,11.25,12000,5/9/2016 6:00:00 AM,S5TqVrLku6GGCrfhgRrLXHHtEcnyid2Lsy,True,1,
04072e2443975c27c9b36d54f2bb34c9,7.5,7.5,41000,5/9/2016 6:00:00 AM,S1rQEGHA9D3XfcUhaPxsg1UFxNcYPitkxf,True,1,
0420758ca642fee167f99dbea1eef1fb,1.25,1.25,425,5/9/2016 6:00:00 AM,S44SxrPKYzwkTscYwvsAeTFfeHLAFQHhjr,True,1,
0432cf343aceeb20da1e270b8eb91829,0,0,0,5/9/2016 6:00:00 AM,SCuEhpM8WhFqLM2QvkyeQoMHdsz875euWW,True,1,
0434a5c37e65cd6475cf9a5f34c1f38c,0,0,1080,5/9/2016 6:00:00 AM,Rz8c26ZPXLAvgcR2Rkj3xNpDhX99YRzGj9,True,1,
04491853907a0f86f8dc874c4859f055,1.25,1.25,75,5/9/2016 6:00:00 AM,SGBN96uj3pSLtahm3fdpa1xKojozKG12aN,True,1,
044a21b47158f18efc712cca55a60193,2.5,2.5,2160,5/9/2016 6:00:00 AM,SLqBBWXJX9f1ZMY7bXXC1jUdgxzF1h1L1q,True,1,
0483f90d1cd0beb5997fffda6cc68079,45,45,17833.33,5/9/2016 6:00:00 AM,Rxrk36TMr2NsCXpZN8HctxELKB93KYVuWM,True,1,
048b12ba0bcf12ab474506152fb9924c,0,0,25,5/9/2016 6:00:00 AM,S8R1oTJxRNVRu2QMXg2UqXrtwyMYWdZEni,True,1,
04c5a4c7611afdf9c4725d440312fe86,0,0,0,5/9/2016 6:00:00 AM,S5X8zuNwHvwbdhYAeunETFjLpxN2xuWkW8,True,1,
04cef22ed1b8996bb40387e76f0344ff,1.25,1.25,60,5/9/2016 6:00:00 AM,S9TKFa4EguUApBKjCzZ4rPZ6Qt9wWuMgSX,True,1,
04cf70d914c9e8c816edeb04bb64324b,0,0,11.25,5/9/2016 6:00:00 AM,SGDQtiavRKPDZaJyh3zJrVL3BLhpvTHue4,True,1,
04f4c41da463c43142e4b1db5ecbad54,0,0,0,5/9/2016 6:00:00 AM,S9nFZCJCDoC5mZ4LVQT8NmABapwzEGviyt,True,1,
04fafc7a4f7b16c414c44292af6097c7,2.5,2.5,2640,5/9/2016 6:00:00 AM,S4m6CzrYtRZLXikSjPVM5sg3fQERUTstjT,True,1,
04ffe4330815f51746184a68eca195ae,0,0,870,5/9/2016 6:00:00 AM,S2QrqPj6LHbfFfRgqQuyLgrA7GdV5z75Ba,True,1,
